A1,A2,A3,A4,TARGET
1,3,2,1.371683641,1
1,1,2,0.245580104,1
0,1,2,0.118844541,1
1,3,2,0.384690022,0
0,1,2,-0.070152378,1
1,1,2,-0.578309496,1
1,2,3,0.469307838,0
1,2,3,1.299687472,1
1,3,2,1.634798039,1
0,3,3,-0.70280862,0
0,3,2,0.807252949,1
1,3,3,-1.027451185,0
0,2,1,1.294496088,1
0,1,1,0.014930355,1
0,3,2,0.218705081,0
0,3,3,1.713188461,1
0,1,2,-2.078804965,1
0,3,2,0.112916842,0
1,3,2,-1.086491402,0
1,3,2,-1.558310585,0
0,2,3,0.637405568,1
0,2,3,-0.404576184,0
0,3,2,-0.403325313,0
0,3,3,0.084076424,0
1,3,3,-0.435349092,0
0,3,2,-0.562622584,0
1,3,2,0.8780623,1
0,3,2,-0.814649882,0
1,1,2,-0.25836289,1
0,3,3,0.49329929,0
0,3,3,-0.802693797,0
1,3,2,-0.008328647,0
1,1,2,0.627570992,1
1,1,2,0.154381669,1
0,3,3,2.580734639,1
1,1,2,-1.30624627,1
1,1,1,1.023526156,1
0,1,2,0.77779549,1
0,3,3,-0.83388441,0
1,1,1,-0.586663321,1
1,3,3,0.065663811,0
1,3,3,-0.012341691,0
0,1,2,-0.07698654,1
0,1,2,-1.558587149,1
0,2,3,1.702606623,1
1,3,2,-0.46898448,0
0,3,2,0.094618852,0
0,3,2,0.287071364,0
0,3,3,0.919353581,1
0,2,1,0.510136075,0
